PLZ;Bezirksname;Mail
1010;Innere Stadt;post@mba01.wien.gv.at
1020;Leopoldstadt;post@mba02.wien.gv.at
1030;Landstraße;post@mba03.wien.gv.at
1040;Wieden;post@mba04.wien.gv.at
1050;Margareten;post@mba05.wien.gv.at
1060;Mariahilf;post@mba06.wien.gv.at
1070;Neubau;post@mba07.wien.gv.at
1080;Josefstadt;post@mba08.wien.gv.at
1090;Alsergrund;post@mba09.wien.gv.at
1100;Favoriten;post@mba10.wien.gv.at
1110;Simmering;post@mba11.wien.gv.at
1120;Meidling;post@mba12.wien.gv.at
1130;Hietzing;post@mba13.wien.gv.at
1140;Penzing;post@mba14.wien.gv.at
1150;Fünfhaus;post@mba15.wien.gv.at
1160;Ottakring;post@mba16.wien.gv.at
1170;Hernals;post@mba17.wien.gv.at
1180;Währing;post@mba18.wien.gv.at
1190;Döbling;post@mba19.wien.gv.at
1200;Brigittenau;post@mba20.wien.gv.at
1210;Floridsdorf;post@mba21.wien.gv.at
1220;Donaustadt;post@mba22.wien.gv.at
1230;Liesing;post@mba23.wien.gv.at
